study_accession,n_runs,n_runs_profiled,frac_non_metagenome_strict,frac_non_metagenome_loose,frac_named_human_host,frac_named_nonhuman_host,frac_named_microbe,frac_synthetic,frac_rna_strict,frac_low_complexity_profiled,frac_low_depth_profiled,frac_predicted_ecological_profiled,frac_low_ksf_high_depth_profiled,median_spf,median_known_species_fraction,median_root_coverage,study_title,triage_verdict,reason_code,auditor_attention,auditor_reason
PRJEB6972,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.46,91.25,1196.91,"The microbial colonization of the intestine during the first monthsof life constitutes the most important process for the microbiota-induced host-homeostasis.Alterations in this process may entail a high-risk for disease in later life. However, this process the potential factorsaffecting it in the infant are not well known. Moreover, the potential impact of orally administered vaccines, expected to interact with intestinal immune cells eliciting an immune response at mucosal level,upon the establishing microbiome remains unknown.Here we assessed the intestinal microbiome establishmentprocess and evaluated the impact of rotavirus vaccination upon this process. Metagenomic, PCR-DGGE and faecal short chain fatty acids analyses were performed on faecal samples obtained from three infants before and after the administration of each dose of vaccine. We found a high inter-individual variability in the early lifegut microbiota at microbial composition level, but a large similarity between the infants’ microbiomes at functional level. Rotavirus vaccination did not show any major effects upon the infant gut microbiota. Thus, the individual microbiome establishment and development process seems to occur in a defined manner during the first stages of life and it is not affected by oral rotavirus vaccination.",include,,False,
PRJEB70237,2664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,HELMi infant and parental stool WGS metagenomes,include,,False,
PRJEB74322,155,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.014184397163120567,67.88,89.48,949.7,Spanish mother and infants metagenomes of stool and milk samples,include,,False,
PRJEB74747,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Dynamics of early-life bacteriophage-bacteria interactions in very preterm infants and their implications in disease,include,,False,
PRJEB76913,35,26,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.038461538461538464,0.0,92.195,96.215,1891.835,Factors affecting the gut microbiota composition of children with CHD,include,,False,
PRJEB77202,539,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,86.265,95.195,667.0250000000001,Cork Nutrition Cohort,include,,False,
PRJEB77729,89,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,100.0,94.63,2070.5,First-Year Dynamics of the Microbiome in Infants’ Oral and Gastrointestinal Systems,include,,False,
PRJEB79382,77,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.86,90.68,431.5,Stool microbiota stability,include,,False,
PRJEB79896,1712,1493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07568653717347622,0.02478231748158071,0.006028131279303416,0.009377093101138647,86.68,94.97,1108.13,PRIMAL fecal samples shotgun metagenome sequencing,include,,False,
PRJEB80456,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,85.21,95.87,8235.37,afmt sample deep sequencing metagenomic and HiC,include,,False,
PRJEB82926,34,30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,94.255,95.675,428.65999999999997,"Probiotic Supplementation Impacts Gut Microbiota Development in Infants at Risk of Atopy: A Follow-up Analysis of a Randomised, Double-Blind, Placebo-Controlled Study",include,,False,
PRJEB83236,770,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.047058823529411764,0.023529411764705882,88.7,95.5,364.06,SEPSIS Human Microbiome Study,include,,False,
PRJEB83552,1674,1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3338150289017341,0.000722543352601156,0.0,0.02384393063583815,91.84,95.18,695.47,SEPSIS Lactobacillus plantarum ATCC 202195 Microbiome Study,include,,False,
PRJEB84376,1368,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107142857142857,0.017857142857142856,0.0,0.08928571428571429,31.18,94.535,103.525,Impact of phage enrichment on the observed infant gut virome,include,,False,
PRJEB84944,547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Shotgun sequencing of 56 mother-infant dyads from the ALADDIN birth cohort,include,,False,
PRJEB86954,138,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243246,83.28,51.285,102.93,Integrating Metagenomics for Helminth Detection,include,,False,
PRJEB87209,50,49,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,96.2,92.71,354.79,Australian infant gut microbiome metagenomics,include,,False,
PRJEB89462,1366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Impact of phage enrichment on the observed infant gut phageome,include,,False,
PRJEB89491,929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,LucKi Gut - Longitudinal metagenomic sequencing of infant gut microbiota,include,,False,
PRJEB90577,631,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023391812865497075,0.0,0.011695906432748537,0.043859649122807015,85.80000000000001,81.225,247.755,PediCAP metagenomics and metaserotyping,include,,False,
PRJEB9150,49,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.18421052631578946,78.465,65.235,164.16500000000002,Gut microbial succession follows acute secretory diarrhea in humans,include,,False,
PRJEB9403,1392,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917355371900827,0.0,0.0,0.0,100.0,99.61,509.41,BAMBI__Baby_Associated_MicroBiota_of_the_Intestine_,include,,False,
PRJEB97976,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Infant gut microbiome maturation during weaning,include,,False,
PRJEB9818,320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,The gut DNA viromes of Malawian twins discordant for severe acute undernutrition,include,,False,
PRJNA1015704,148,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04895104895104895,0.0,0.0,0.02097902097902098,77.65,82.96,709.26,Fecal and oropharyngeal microbiota from infants with cystic fibrosis on and off beta-lactam antibiotics.,include,,False,
PRJNA1019702,507,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06306306306306306,0.10510510510510511,0.003003003003003003,0.0,79.64,92.21,683.45,MILK study metagenomic sequencing of human milk and infant feces,include,,False,
PRJNA1029046,29,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.78,93.51,509.7,Microbial Functionality and Its Correlation with Three Fecal Biomarkers,include,,False,
PRJNA1031773,624,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05835010060362173,0.0,0.0,0.002012072434607646,94.66,94.67,1788.3,Impacts of COVID-19 Pandemic on Early Life Gut Microbiome,include,,False,
PRJNA1042647,180,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09285714285714286,0.0,0.007142857142857143,0.02142857142857143,73.83500000000001,91.6,400.53,Bile Acids Are Substrates for Amine N-Acyl Transferase Activity by Bile Salt Hydrolase,include,,False,
PRJNA1045584,655,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09905660377358491,0.0660377358490566,0.0023584905660377358,0.049528301886792456,63.96,76.715,321.65999999999997,Impact of SARS-CoV-2 in stool sample from women living with HIV and HIV-negative women and their infants.,include,,False,
PRJNA1045596,436,429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.002331002331002331,72.35,85.67,339.8,The Intestinal Microbiome of Inflammatory Bowel Disease Across the Pediatric Age Range Raw sequence reads,include,,False,
PRJNA1046438,467,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,79.42,78.655,467.455,Profiling the gut microbiota throughout human lifespan,include,,False,
PRJNA1049511,1566,1322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049167927382753406,0.0,0.0,0.0037821482602118004,93.91499999999999,92.92,1655.58,Gestational diabetes mellitus (GDM) impacts the maternal or infant microbiome trajectory,include,,False,
PRJNA1051094,122,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32857142857142857,0.2571428571428571,0.0,0.05714285714285714,1.0350000000000001,52.585,8.605,"Comparing the gut virome of HIV exposed, uninfected verses HIV unexposed Kenyan infants in the first 18 month of life",include,,False,
PRJNA1055141,94,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,16.915,90.58000000000001,51.415,Infant stool shallow shotgun sequencing (ANTIBIO),include,,False,
PRJNA1056831,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,88.57,95.195,1824.27,Microbiota of infant cholestasis in Taiwan,include,,False,
PRJNA1060349,1197,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45,84.84,325.7,Weaning accelerates and transforms within-host adaptation in the infant gut microbiome,include,,False,
PRJNA1062322,57,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,0.04878048780487805,0.024390243902439025,77.27,96.01,1673.63,Human milk cream alters intestinal microbiome of preterm infants,include,,False,
