study_accession,triage_verdict,outcome,confidence,reason_code,evidence,model,decision_stage,note,n_infant_samples_est,body_site_call,slot,validator_ok,validator_msg,study_title,n_samples,n_runs,first_public_min,sig_infant_hit,sig_infant_title,screen_haiku,linked_infant_paper,universe_slice,catalog_status,assessed_downstream,recov_age,recov_antibiotics,recov_delivery,recov_feeding,recov_preterm,recov_probiotic,cohort_id,cohort_name,cohort_crosswalk_names,n_biosample_infant_flagged,n_linked_papers,linked_pmids,median_gbp,median_read_len,paired_share,instrument_model_top,generation_top,timepoint_class,country_top,worklist_rank,expected_field_yield,effort_class,controlled_access,review_round
PRJNA663786,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""paper.abstract"", ""quote"": ""23 children that had undergone AMC antibiotic therapy""}, {""source"": ""sample.attr.country"", ""quote"": ""Italy""}, {""source"": ""study.title"", ""quote"": ""bifidobacterial resistance mechanism against amoxicillin-clavulanic acid""}]",claude-fable-5-1,session_model_review,human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: Parma amoxicillin-clavulanate study (PMC8091617). 40 of the 120 runs are human faecal metagenomes from Italian children (23 antibiotic-treated vs 19 untreated) and the remaining 80 are in vitro faecal batch cultures spiked with Bifidobacterium strains (FecalSample-*-AMC-12h/24h/36h). No ages are given for the children in the abstract and t,,stool (plus in vitro batch culture),triage_verdict,True,,Unveiling the bifidobacterial resistance mechanism against amoxicillin-clavulanic acid: genetic and ecological insights,120,120,2021-01-12,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0461,singleton study PRJNA663786,,0,0,,0.028585836,147.0055938117727,1.0,NextSeq 550,bench,single_timepoint,Italy,353.0,0.5,abstract_only,False,round1_unresolvable
PRJDB38518,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""gut virome relation with ASD and healthy children""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: cohort described only as 'children' with ASD; no per-sample age, no paper found; toddlers (≤36 m) cannot be excluded or confirmed.",,stool,triage_verdict,True,,Human gut virome (PRJCA034040),22,22,2025-12-11,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0271,singleton study PRJDB38518,,0,0,,4.054117906,128.5915723826924,1.0,Illumina MiSeq,bench,single_timepoint,missing: data agreement established pre-2023,401.0,0.5,abstract_only,False,round1_unresolvable
PRJNA564995,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""onset of IBD before 6 years of age""}, {""source"": ""study.title"", ""quote"": ""Gut virome in VEO-IBD""}, {""source"": ""run.library_selection"", ""quote"": ""MDA""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: UPenn very-early-onset IBD virome, 82 VLP/MDA and bulk libraries (D### patients, H### healthy, DNC negative controls). VEO-IBD is defined by onset before 6 y and its infantile subset presents under 2 y, but nothing in the archive states any subject's age at sampling and no paper cites this accession, so in-window samples can be neither con",,stool (VLP DNA virome),triage_verdict,True,,Gut virome in VEO-IBD,82,82,2020-04-26,False,False,yes,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0451,singleton study PRJNA564995,VEO-IBD,0,0,,0.534085175,131.11888872643084,1.0,Illumina HiSeq 2500,gen1,single_timepoint,USA:PA,367.0,0.5,abstract_only,False,round1_unresolvable
PRJNA800433,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""effect of antibiotic treatments on children's gut microbiome""}, {""source"": ""sample.attr.isolation_source"", ""quote"": ""stool""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: JCVI deposit of 132 deep NovaSeq stool metagenomes from children receiving antibiotics, paired pre/post samples (##A/##B) plus a GUT_STD control. Paediatric antibiotic cohorts of this design often centre on infants and toddlers, but no ages appear in the archive and no paper cites the accession.",,stool,triage_verdict,True,,raw metagenomic sequence reads from human stool microbiome from children receiving antibiotics,132,132,2023-02-02,False,False,yes,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0487,singleton study PRJNA800433,,0,0,,9.2406132865,150.39439009827265,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,,351.0,0.5,abstract_only,False,round1_unresolvable
PRJEB73554,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""study the microbiome of child suffering from autisim""}, {""source"": ""sample.title"", ""quote"": ""P1""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: 8 samples (C1-4 controls, P1-4 patients) of Saudi autistic children; no age, no body site, no paper; toddlers cannot be confirmed or excluded.",,unknown,triage_verdict,True,,saudi childern Adtistic 2023,8,8,2024-03-24,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH2293,singleton study PRJEB73554,,0,0,,5.9641743,75.0,1.0,DNBSEQ-G400,mgi,single_timepoint,Saudi Arabia,421.0,0.5,abstract_only,False,round1_unresolvable
PRJEB31957,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""Oral and fecal samples were collected from a young child""}, {""source"": ""sample.title"", ""quote"": ""OM gut metagenome at Day 05""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: single 'young child' with acute otitis media, age never stated; no paper found; could be 6-24 m or older.",,stool (plus oral),triage_verdict,True,,Impact of narrow-spectrum antibiotics on the oral and fecal microbiome and resistome in a young child treated for otitis media,3,3,2019-07-02,False,False,yes,False,enumeration_v1,human_review,True,R1,R0,R0,R0,R0,R0,COH0296,singleton study PRJEB31957,,0,0,,10.222995636,126.0,1.0,Illumina HiSeq 2500,gen1,single_timepoint,Norway,301.0,3.1999999999999997,archive_attributes_only,False,round1_unresolvable
PRJNA1276154,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""study.description"", ""quote"": ""Metagenomic sequence of feces in ASD children""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: Zhengzhou University ASD deposit, 50 deep NovaSeq X Plus faecal metagenomes (FB/FT library codes = likely case/control), described only as 'ASD children'; no ages, no linked paper. ASD cohorts are usually 3+ y but toddlers cannot be ruled out.",,stool,triage_verdict,True,,Metagenomic sequence of human feces,50,50,2025-06-15,False,False,yes,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0372,singleton study PRJNA1276154,,0,0,,13.173358988,151.0,1.0,Illumina NovaSeq X Plus,gen3,single_timepoint,China: Zhengzhou,383.0,0.5,abstract_only,False,round1_unresolvable
PRJNA929356,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""paper.fulltext.demography"", ""quote"": ""mean age of all participants was 6.1 +/- 2.9 years (range 1-14)""}, {""source"": ""study.description"", ""quote"": ""Surveillance of enteric pathogens from human stool""}, {""source"": ""sample.attr.country"", ""quote"": ""Nigeria: Osun""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: ACEGID/Redeemer's University typhoid-surveillance study in Osun State (PMC10140884). The enrolled cohort spans 1-14 y, so the study population reaches into the window, but only 9 of 67 stool samples — those antigen-positive with high optical density — were sequenced, and the record does not say which children they came from.",,stool,triage_verdict,True,,Surveillance of enteric pathogens from human stool,9,9,2023-01-31,False,False,no,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0518,singleton study PRJNA929356,,0,0,,0.36759289,151.0,1.0,Illumina MiSeq,bench,single_timepoint,Nigeria: Osun,420.0,0.5,abstract_only,False,round1_unresolvable
PRJNA562600,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""sample.title"", ""quote"": ""s53.VEO.Feces.Week_16""}, {""source"": ""paper.supp.table"", ""quote"": ""6 runs of PRJNA562600, Age (day) 2190-3285""}, {""source"": ""study.description"", ""quote"": ""children with inflammatory bowel disease (IBD)""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: CHOP paediatric CDI/IBD multi-omic cohort (PMC9332131, full text unavailable). Library names define groups including VEO (very-early-onset IBD, by definition onset before 6 y and sometimes in infancy) and both 'Healthy' and 'Healthy_greaterthan5' arms, implying an under-5 healthy group, but no per-sample ages exist; the only curated ages (",,stool,triage_verdict,True,,Multi-omic analysis of Clostridioides difficile infection and response to therapy in pediatric inflammatory bowel disease,148,148,2019-08-30,False,False,yes,True,enumeration_v1,human_review,True,R2,R3,R3,R3,R0,R0,COH0450,singleton study PRJNA562600,,0,1,38441032,1.8928205550000001,108.99065626502635,1.0,Illumina HiSeq 2500,gen1,single_timepoint,,150.0,4.500000000000001,one_supp_table,False,round1_unresolvable
PRJEB108450,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""Building upon the CHILD Cohort Study, we engage 1,462 households""}, {""source"": ""sample.title"", ""quote"": ""16326.1M4K9CF.B.FW2""}]",claude-fable-5-1,session_model_review,human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: household COVID-19 sub-study of the CHILD birth cohort (index children school-age at 2020-22 sampling); sample-ID suffixes CC/CF/CM/C1-C3 suggest child/father/mother/sibling roles but no per-sample age; younger siblings ≤36 m cannot be excluded; no paper found.,,stool,triage_verdict,True,,Exploring Fecal Microbiome in the CHILD COVID-19 sub-project,3738,3963,2026-02-19,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0278,singleton study PRJEB108450,CHILD,0,0,,2.546710295,74.91438339830862,1.0,Illumina NovaSeq X,gen3,single_timepoint,Canada,303.0,0.5,abstract_only,False,round1_unresolvable
PRJEB11554,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""NeoM""}, {""source"": ""sample.title"", ""quote"": ""metagenome:human""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: single MiSeq run titled 'NeoM' (Imperial College); no age, body site, description or paper; the 'Neo' token alone is a name-only signal.",,unknown,triage_verdict,True,,NeoM,1,1,2015-12-29,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0286,singleton study PRJEB11554,,0,0,,8.376041955,278.43632971562937,1.0,Illumina MiSeq,bench,single_timepoint,,429.0,0.5,abstract_only,False,round1_unresolvable
PRJNA217052,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""paper.fulltext.overview"", ""quote"": ""The study included 300 individuals, regardless of health status""}, {""source"": ""study.description"", ""quote"": ""how people share benign bacteria that live in guts""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: Fiji Community Microbiome Project (Broad), 241 stool metagenomes across 3,408 runs. The primary paper PMC4983458 describes whole-village recruitment regardless of health status but gives no age breakdown in its available text, its supplement holds only a figure, and no per-sample ages are in the archive (library IDs are Pond-###### plate c",,stool,triage_verdict,True,,Fiji COMP,241,3408,2015-08-29,False,False,unsure,True,enumeration_v1,human_review,True,R0,R0,R3,R3,R0,R3,COH0397,singleton study PRJNA217052,,0,1,37188713,0.622382301,101.0,1.0,Illumina HiSeq 2000,gen1,longitudinal_5+,,247.0,2.075,fulltext_only,False,round1_unresolvable
PRJNA684904,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""sample.attr.isolation_source"", ""quote"": ""diarrhea sample from child under the age of five""}, {""source"": ""study.description"", ""quote"": ""children under the age of five which were down with diarrhea""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: North-West University deposit of two deep NovaSeq diarrhoeal stool metagenomes (B21, B26) from Mafikeng Provincial Hospital. The only age statement is 'under the age of five', which spans the window boundary; with two samples and no paper, whether either child is under 36 months cannot be determined.",,stool,triage_verdict,True,,human gut metagenome Genome sequencing and assembly,2,2,2021-01-04,False,False,yes,False,enumeration_v1,human_review,True,R1,R3,R0,R3,R0,R3,COH0464,singleton study PRJNA684904,,0,1,38652229,3.5887736639999996,120.91355355330215,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,"South Africa: Mafikeng, Mafikeng Provincial Hospital",297.0,4.425000000000001,fulltext_only,False,round1_unresolvable
PRJEB13679,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""Treatment-Naive Microbiome in New-Onset Crohn s Disease""}, {""source"": ""sample.attr.age"", ""quote"": ""1.75 | 2.25 | 3.0""}, {""source"": ""run.library_strategy"", ""quote"": ""OTHER""}]",claude-opus-5,opus_adjudication_biosample_rejudge,"re-judged with BioSample age attributes (7 infant-flagged samples, median 27.0 mo); prior exclude (age_unknown_no_evidence) superseded",,,triage_verdict,True,,The Treatment-Naive Microbiome in New-Onset Crohn s Disease,1359,1359,2016-04-26,False,False,unsure,False,enumeration_v1,human_review,False,,,,,,,,,,7,0,,,,,,,,,,,,,biosample_rejudge_uncertain
PRJEB29237,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""gut microbiome of pediatriac ALL patients""}, {""source"": ""paper.fulltext.data_availability"", ""quote"": ""cohort paper covers four ENA deposits; 11 patients <3 y""}, {""source"": ""run.library_strategy"", ""quote"": ""{\""WGS\"": 44, \""AMPLICON\"": 41}""}]",claude-opus-5,opus_adjudication_sibling_recheck,"re-check of sibling deposit of included PRJEB46214/PRJEB53954 (cohort paper PMC9363618, 11 patients <3 y across four deposits); prior verdict superseded",10.0,,triage_verdict,True,,16S rRNA gene amplicon and metagenomic shotgun sequencing reads from a pediatric acute lymphoblastic leukemia cohort. Metagenomic shotgun sequencing reads have been prefiltered to remove any human DNA before uploading to following ethical guidelines for the study.,44,44,2018-10-18,False,True,,False,enumeration_v1,human_review,True,R2,R2,R0,R0,R0,R3,,,,0,3,30838178;35967843;36909730,0.35734442099999997,113.11235500504569,0.0,NextSeq 550,bench,single_timepoint,Canada,226.0,3.6750000000000007,one_supp_table,False,sibling_recheck_uncertain
PRJNA1370643,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""sample.title"", ""quote"": ""Metagenome of Human Feces: Con-Rep1""}, {""source"": ""sample.attr.age"", ""quote"": ""2.3 | 2.7 | 3 | 1.8 | 0.4 | 1.7""}, {""source"": ""study.title"", ""quote"": ""Children with Kawasaki Disease in Northwest China""}]",claude-opus-5,opus_adjudication_biosample_rejudge,"re-judged with BioSample age attributes (30 infant-flagged samples, median 27.0 mo); prior exclude (age_child_over_36m) superseded",,,triage_verdict,True,,Gut Microbiome Features of Children with Kawasaki Disease in Northwest China,70,70,2025-12-11,False,False,yes,False,enumeration_v1,human_review,False,,,,,,,,,,30,0,,,,,,,,,,,,,biosample_rejudge_uncertain
PRJNA877820,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""paper.fulltext.results"", ""quote"": ""Age (years) 7.92 \u00b1 2.92 7.53 \u00b1 3.61""}, {""source"": ""paper.fulltext.data_availability"", ""quote"": ""accession numbers PRJNA664632, PRJNA669199, PRJNA668202, PRJNA877820""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=supplement): UNRESOLVABLE: per-subject ages for the 58 samples. The accession belongs to the paediatric new-onset T1D multi-centre study (PMC9606127); its n=58 validation set matches this deposit's 58 samples, and Table 1 reports only group means (NC 6.48 +/- 2.21 y, T1D 6.58 +/- 1.96 y). Supplementary Data 2 lists sequencing statistics without ages, so wh",,stool,triage_verdict,True,,Metagenomics of gut microbiota,58,58,2024-10-27,False,False,no,False,enumeration_v1,human_review,True,R2,R2,R3,R3,R0,R3,COH2300,singleton study PRJNA877820,,0,3,32209716;36289225;36539432,11.1187509,150.0,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,China,173.0,5.075,one_supp_table,False,round2_unresolvable
PRJNA1092797,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""human fecal metagenome""}, {""source"": ""sample.title"", ""quote"": ""WGS of stol""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: CUHK Hong Kong deposit, 98 deep NovaSeq faecal metagenomes, description is just 'human fecal metagenome'; library codes VHAA/VHAC/DRCC/DOSA give no age; no paper found by accession. Population entirely unknown.",,stool,triage_verdict,True,,human fecal metagenome,98,98,2024-04-03,False,False,,False,gap_fill_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2306,singleton study PRJNA1092797,,0,0,,7.463598881499999,149.19675614848856,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,Hong Kong,359.0,0.5,abstract_only,False,round1_unresolvable
