cohort_id,cohort_name,n_studies,n_papers,study_accessions,paper_ids,index_publication_pmid,countries,first_public_min,n_samples_total,unique_infants_est,unique_infants_outcome,body_sites,controlled_access,confidence,evidence,decision,cluster_id,paper_years,dropped_member_ids_not_in_dossier,unique_infants_est_prev,unique_infants_est_partial,unique_infants_est_source,included_study_accessions,n_included_studies
COH0018,Brooks 2014 USA,1,1,PRJNA221723,24468033,24468033,USA,2014-02-05,2,2.0,predicted,stool,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Microbes in the neonatal intensive care unit resemble those found"", ""in_dossier"": true}, ""infants"": {""source"": ""study.title"", ""quote"": ""Gut metagenome from two premature infants"", ""in_dossier"": true}}",split,CC0013,2014,,2.0,,cohorts_v3:unresolved,PRJNA221723,1
COH0019,Brooks 2017 USA,1,3,PRJNA376566,29180750|29925423|PPR13305,29180750,USA,2017-12-06,407,407.0,sentinel_no_evidence,stool,False,0.7,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Strain-resolved analysis of hospital rooms and infants reveals overlap"", ""in_dossier"": true}, ""infants"": null}",split,CC0013,2017|2018,,,,subject_resolution:all_members,PRJNA376566,1
COH0020,Li 2021,1,0,PRJNA543520,,32239170,,2019-07-27,64,,sentinel_no_evidence,gut,False,0.6,"{""name"": {""source"": ""paper.title"", ""quote"": ""Vertical Transmission of Gut Microbiome and Antimicrobial Resistance Genes"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Vertical Transmission of Gut Microbiome and Antimicrobial Resistance Genes in Infants"", ""in_dossier"": true}, ""infants"": null}",split,CC0014,,,,,cohorts_v3:unresolved,PRJNA543520,1
COH0023,Milkome,1,1,PRJEB97976,42203770,42203770,Denmark,2025-11-11,108,13.0,predicted,gut/fecal,False,0.55,"{""name"": {""source"": ""paper.abstract"", ""quote"": ""forming the Milkome cohort"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""collected faecal samples at pre-, early and late weaning"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""seven mother-infant dyads forming the Milkome cohort"", ""in_dossier"": true}}",split,CC0017,2026,,7.0,,subject_resolution:all_members,PRJEB97976,1
COH0024,MILK study,2,3,PRJNA1019702|PRJNA1198101,39043677|39265573|41274878,39265573,USA,2024-01-10,537,,sentinel_no_evidence,milk|stool,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""MILK study metagenomic sequencing of human milk and infant feces"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Human milk variation is shaped by maternal genetics"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0018,2024|2025,,,,cohorts_v3:unresolved,PRJNA1019702|PRJNA1198101,2
COH0025,Benitez 2025 USA,3,2,PRJNA1042647|PRJNA1106565|PRJNA1145027,39440978|39856742,39856742,USA,2023-11-19,930,325.0,predicted,gut,False,0.7,"{""name"": {""source"": ""paper.abstract"", ""quote"": ""prospective longitudinal birth cohort of n = 323 healthy term African American"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Antibiotic exposure is associated with minimal gut microbiome perturbations"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""prospective longitudinal birth cohort of n = 323 healthy term African American"", ""in_dossier"": true}}",confirm,CC0019,2024|2025,,323.0,,subject_resolution:all_members,PRJNA1042647|PRJNA1106565|PRJNA1145027,3
COH0026,Ferretti 2018 Italy,1,1,PRJNA352475,30001516,30001516,Italy,2018-02-03,230,159.0,sentinel_no_evidence,gut,False,0.9,"{""name"": {""source"": ""paper.title"", ""quote"": ""Mother-to-Infant Microbial Transmission from Different Body Sites"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Mother-to-Infant Microbial Transmission from Different Body Sites"", ""in_dossier"": true}, ""infants"": null}",split,CC0020,2018,,,,subject_resolution:all_members,PRJNA352475,1
COH0027,Mancabelli 2024 Italy,1,1,PRJNA1046438,38441032,38441032,Italy,2024-01-05,467,,sentinel_no_evidence,gut,False,0.55,"{""name"": {""source"": ""study.title"", ""quote"": ""Profiling the gut microbiota throughout human lifespan"", ""in_dossier"": true}, ""index"": {""source"": ""study.title"", ""quote"": ""Profiling the gut microbiota throughout human lifespan"", ""in_dossier"": true}, ""infants"": null}",split,CC0020,2024,,,,cohorts_v3:unresolved,PRJNA1046438,1
COH0028,DIABIMMUNE,1,2,PRJNA497734,27133167|30559407,30559407,Estonia|Finland|Russia,2018-10-22,1154,269.0,predicted,stool,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""several DIABIMMUNE microbiome studies"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Genomic variation and strain-specific functional adaptation in the human"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""222 infants in Northern Europe"", ""in_dossier"": true}}",confirm,CC0021,2016|2019,,222.0,,subject_resolution:all_members,PRJNA497734,1
COH0029,Schwartz 2012 United States,1,2,PRJEB2778,22546241|33353204,22546241,United States,2012-04-17,12,12.0,sentinel_no_evidence,gut,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""metagenomic study of diet-dependent interaction between gut microbiota"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0022,2012|2020,,12.0,,cohorts_v3:unresolved,PRJEB2778,1
COH0030,Shao 2019 UK,1,3,PRJEB32631,31534227|36456554|39242817,31534227,,2019-07-01,1679,1679.0,sentinel_no_evidence,stool,False,0.7,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0023,2019|2022|2024,,,,subject_resolution:all_members,PRJEB32631,1
COH0031,MAMI,2,2,PRJEB74322|PRJNA1227883,38870906|40603287,38870906,Spain,2024-04-01,267,,sentinel_no_evidence,stool|milk,False,0.8,"{""name"": {""source"": ""study.title"", ""quote"": ""MAMI cohort Metagenome"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""we analyzed mother-to-infant microbiota transmission"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0024,2024|2025,,,,cohorts_v3:unresolved,PRJEB74322|PRJNA1227883,2
COH0032,Zhang 2025 Hong Kong,1,1,PRJNA1031773,41411654,41411654,Hong Kong,2024-03-06,624,,sentinel_no_evidence,gut,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Impacts of COVID-19 pandemic on early life gut microbiome."", ""in_dossier"": true}, ""infants"": null}",split,CC0025,2025,,,,cohorts_v3:unresolved,PRJNA1031773,1
COH0034,Bonham 2025 South Africa,1,3,PRJNA1128723,39809768|40586263|42311381,40586263,South Africa,2025-01-04,65,65.0,sentinel_no_evidence,gut,False,0.6,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Codevelopment of gut microbial metabolism and visual neural circuitry"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0026,2025|2026,,65.0,,cohorts_v3:unresolved,PRJNA1128723,1
COH0035,Baumann-Dudenhoeffer 2018 USA,1,1,PRJNA473126,30374198,30374198,USA,2018-05-26,402,60.0,sentinel_no_evidence,stool,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Infant diet and maternal gestational weight gain predict early metabolic maturation"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0027,2018,,,,subject_resolution:all_members,PRJNA473126,1
COH0036,Aguado-García 2020 Mexico,1,3,PRJNA592261,32788688|35196791|36650178,36650178,Mexico,2020-02-29,211,85.0,predicted,stool|oropharynx,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""nine asymptomatic children in a semi-rural community setting"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""97 stool samples from nine children were collected"", ""in_dossier"": true}}",confirm,CC0028,2020|2022|2023,,9.0,,subject_resolution:all_members,PRJNA592261,1
COH0037,Peterson 2021 USA,1,3,PRJNA695570,34335499|34442687|34444993,34335499,USA,2021-03-01,1767,682.0,sentinel_no_evidence,gut,False,0.7,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Comparative Analysis of 16S rRNA Gene and Metagenome Sequencing"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0029,2021,,,,subject_resolution:all_members,PRJNA695570,1
COH0038,de Goffau 2022 Gambia,1,2,PRJEB28671,34972822|41387413,34972822,,2019-12-03,1605,633.0,predicted,stool,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Gut microbiomes from Gambian infants reveal the development"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""633 Gambian children aged 7-37 months enroled in"", ""in_dossier"": true}}",confirm,CC0032,2022|2025,,633.0,,cohorts_v3:unresolved,PRJEB28671,1
COH0039,Kim 2022 South Korea,2,1,PRJEB33013|PRJEB55713,36504822,36504822,South Korea,2020-09-15,116,,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Different maturation of gut microbiome in Korean children"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0033,2022,,,,cohorts_v3:unresolved,PRJEB33013|PRJEB55713,2
COH0040,Ngwese 2025 Gabon,1,1,PRJEB86954,41358671,41358671,Gabon,2025-12-12,51,,sentinel_no_evidence,gut,False,0.6,"{""name"": null, ""index"": {""source"": ""study.title"", ""quote"": ""Integrating Metagenomics for Helminth Detection"", ""in_dossier"": true}, ""infants"": null}",split,CC0034,2025,,,,cohorts_v3:unresolved,PRJEB86954,1
COH0041,MAP,1,2,PRJEB52147,35440708|PPR429179,35440708,USA,2022-04-11,90,18.0,sentinel_no_evidence,stool,False,0.75,"{""name"": {""source"": ""paper.title"", ""quote"": ""Microbiome, Atopic Disease, and Prematurity (MAP) Study"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""impact of maternal asthma on the preterm infants' gut microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0035,2021|2022,,,,subject_resolution:all_members,PRJEB52147,1
COH0042,BRISC,1,2,PRJNA1081952,39143045|39367018,,Bangladesh,2024-08-07,1422,,sentinel_no_evidence,stool,False,0.8,"{""name"": {""source"": ""study.title"", ""quote"": ""BRISC microbiome sub study"", ""in_dossier"": true}, ""index"": null, ""infants"": null}",confirm,CC0036,2024,,,,cohorts_v3:unresolved,PRJNA1081952,1
COH0043,IMPRINT,1,2,PRJNA390646,30338216|31423298,30338216,USA,2018-12-07,60,60.0,sentinel_no_evidence,gut,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""Infant Microbiota and Probiotic Intake Study (IMPRINT)"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Reduced colonic mucin degradation in breastfed infants colonized"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0037,2018|2019,,60.0,,cohorts_v3:unresolved,PRJNA390646,1
COH0044,Leonard 2020 USA,1,2,PRJNA486782,32917289|34253606,32917289,Italy|USA,2024-12-01,199,116.0,sentinel_no_evidence,gut,False,0.7,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Multi-omics analysis reveals the influence of genetic"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0038,2020|2021,,,,subject_resolution:all_members,PRJNA486782,1
COH0045,Hayden 2020,1,2,PRJNA510445,31959989|34525965,31959989,,2019-11-14,1279,329.0,sentinel_no_evidence,stool,False,0.8,"{""name"": null, ""index"": {""source"": ""study.title"", ""quote"": ""fecal microbiomes and nutritional status in cystic fibrosis"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0039,2020|2021,,,,subject_resolution:all_members,PRJNA510445,1
COH0046,Reyman 2022 Netherlands,2,1,PRJNA613032|PRJNA613054,35173154,35173154,Netherlands,2022-01-12,52,147.0,predicted,fecal,False,0.92,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Effects of early-life antibiotics on the developing infant gut microbiome and resistome"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""147 infants born a"", ""in_dossier"": true}}",confirm,CC0040,2022,,147.0,,cohorts_v3:unresolved,PRJNA613032|PRJNA613054,2
COH0047,Nguyen 2021 USA,1,2,PRJNA630999,33665175|PPR227935,33665175,USA,2021-03-01,293,77.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""We prospectively and longitudinally followed two cohorts of preterm inf"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0041,2020|2021,,,,subject_resolution:all_members,PRJNA630999,1
COH0048,Lou 2021 USA,1,2,PRJNA698986,34622230|37973815,34622230,USA,2021-02-04,819,76.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""study.title"", ""quote"": ""matched maternal sample"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0042,2021|2023,,,,subject_resolution:all_members,PRJNA698986,1
COH0049,Song 2021 China,1,2,PRJNA730640,34262484|34646837,34262484,China,2021-05-20,40,40.0,sentinel_no_evidence,gut,False,0.65,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Characteristics of Gut Microbiota in Children With Biliary Atresia"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0043,2021,,40.0,,cohorts_v3:unresolved,PRJNA730640,1
COH0050,Westaway 2022 Australia,1,2,PRJNA751712,35345612|35796792,35345612,Australia,2022-03-03,1,,sentinel_no_evidence,gut,False,0.72,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Metagenomic Comparison of the Discharge Gut Microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0044,2022,,,,cohorts_v3:unresolved,PRJNA751712,1
COH0051,Ma 2022 USA,1,2,PRJNA774819,35695455|PPR495310,35695455,USA,2021-10-28,29,,sentinel_no_evidence,stool,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""associated with intestinal barrier maturation in early preterm"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0045,2022,,,,cohorts_v3:unresolved,PRJNA774819,1
COH0052,Subramanian 2025 USA,1,2,PRJNA988496,38773685|40823537,40823537,USA,2024-02-04,273,59.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""study.title"", ""quote"": ""Delivery mode impacts gut bacteriophage colonization during infancy"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0046,2024|2025,,,,subject_resolution:all_members,PRJNA988496,1
COH0060,Niu 2026 China,1,1,PRJEB108038,41834868,41834868,China,2026-02-11,16,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Neonatal jaundice and the infant gut microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0055,2026,,,,cohorts_v3:unresolved,PRJEB108038,1
COH0061,Smith-Brown 2016 Australia,1,1,PRJEB14969,27694811,27694811,,2016-07-31,37,37.0,sentinel_no_evidence,fecal,False,0.85,"{""name"": {""source"": ""paper.title"", ""quote"": ""Australian children"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""examine the associations between food intakes and microbiota composition"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0056,2016,,,,subject_resolution:all_members,PRJEB14969,1
COH0062,Davis 2017 Gambia,1,1,PRJEB15633,28079170,28079170,The Gambia,2016-11-01,85,33.0,sentinel_no_evidence,gut,False,0.87,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Growth and Morbidity of Gambian Infants are Influenced"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0057,2017,,,,subject_resolution:all_members,PRJEB15633,1
COH0063,Leggett 2020,1,1,PRJEB22207,31844297,31844297,,2017-08-21,17,17.0,sentinel_no_evidence,gut,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Rapid MinION profiling of preterm microbiota and antimicrobial-resistant pathogens"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0058,2020,,17.0,,cohorts_v3:unresolved,PRJEB22207,1
COH0064,Korpela 2018 Netherlands,1,1,PRJEB24041,29496731,29496731,Germany|Luxembourg|Netherlands,2018-02-12,212,,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Selective maternal seeding and environment shape the human gut microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0059,2018,,,,cohorts_v3:unresolved,PRJEB24041,1
COH0065,Guernier-Cambert 2021 Australia,1,1,PRJEB36405,34603219,34603219,Australia,2020-08-22,22,3.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""clinically healthy women and infants in Australia"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0060,2021,,,,subject_resolution:all_members,PRJEB36405,1
COH0066,Valles-Colomer 2023 Italy,1,1,PRJEB45799,36653448,36653448,,2022-03-29,2394,2358.0,sentinel_no_evidence,gut|oral,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""person-to-person transmission landscape of the gut and oral microbiomes"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0061,2023,,,,subject_resolution:all_members,PRJEB45799,1
COH0067,Derrien 2023 Kenya,1,1,PRJEB52748,36794816,36794816,Kenya,2023-03-03,105,105.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Gut microbiome function and composition in infants from rural Kenya"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0062,2023,,105.0,,cohorts_v3:unresolved,PRJEB52748,1
COH0068,Valles-Colomer 2024 Italy,1,1,PRJEB63351,38104504,38104504,Italy,2023-08-20,288,,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Neuroblastoma is associated with alterations in gut microbiome composition"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0063,2024,,,,cohorts_v3:unresolved,PRJEB63351,1
COH0069,Pucci 2025 Netherlands,1,1,PRJEB66728,39866568,39866568,Netherlands,2023-12-08,60,,sentinel_no_evidence,gut,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Priority effects, nutrition and milk glycan-metabolic potential drive"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0064,2025,,,,cohorts_v3:unresolved,PRJEB66728,1
COH0070,Renk 2024 Germany,1,1,PRJEB76913,39881980,39881980,Germany,2025-02-28,35,,sentinel_no_evidence,stool,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Oxygenation and intestinal perfusion and its association with perturbations of"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0065,2024,,,,cohorts_v3:unresolved,PRJEB76913,1
COH0071,Coates 2025 UK,1,1,PRJEB82926,40431157,40431157,United Kingdom,2025-01-01,34,34.0,sentinel_no_evidence,gut,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Impact of Probiotic Supplementation on the Development of the Infant Gut Microbiota"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0066,2025,,34.0,,cohorts_v3:unresolved,PRJEB82926,1
COH0072,ALADDIN,1,1,PRJEB84944,40885737,40885737,Sweden,2025-08-04,547,192.0,predicted,stool,False,0.9,"{""name"": {""source"": ""study.title"", ""quote"": ""56 mother-infant dyads from the ALADDIN birth cohort"", ""in_dossier"": true}, ""index"": null, ""infants"": {""source"": ""study.title"", ""quote"": ""56 mother-infant dyads"", ""in_dossier"": true}}",confirm,CC0067,2025,,56.0,,subject_resolution:all_members,PRJEB84944,1
COH0073,Harrison 2025 Australia,1,1,PRJEB87209,41339319,41339319,Australia,2025-10-06,50,50.0,predicted,gut,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Indigenous infants in remote Australia retain an ancestral gut microbiome"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""the gut metagenomes of 50 Indigenous Australian infants"", ""in_dossier"": true}}",confirm,CC0068,2025,,50.0,,cohorts_v3:unresolved,PRJEB87209,1
COH0074,Valenzuela-Diaz 2026 Finland,1,1,PRJEB89462,41873970,41873970,Finland,2026-03-04,1366,55.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Impact of phage enrichment on the observed infant gut phageome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0069,2026,,,,subject_resolution:all_members,PRJEB89462,1
COH0075,Hayden 2025,1,1,PRJNA1015704,40042126,40042126,,2025-05-23,148,,sentinel_no_evidence,stool|oropharynx,False,0.9,"{""name"": {""source"": ""paper.title"", ""quote"": ""Effects of Therapeutic Antibiotic Exposure on the Oropharyngeal and Fecal Microbiota"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Effects of Therapeutic Antibiotic Exposure on the Oropharyngeal and Fecal Microbiota"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0070,2025,,,,cohorts_v3:unresolved,PRJNA1015704,1
COH0076,Maqsood 2024 Kenya,1,1,PRJNA1045584,39185682,39185682,Kenya|USA,2024-09-11,655,150.0,predicted,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Gut virome and microbiome dynamics before and after SARS-CoV-2 infection"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""including 23 mothers (13 WLHI"", ""in_dossier"": true}}",confirm,CC0071,2024,,23.0,,subject_resolution:all_members,PRJNA1045584,1
