study_accession,triage_verdict,outcome,confidence,reason_code,evidence,model,decision_stage,note,n_infant_samples_est,body_site_call,slot,validator_ok,validator_msg,study_title,n_samples,n_runs,first_public_min,sig_infant_hit,sig_infant_title,screen_haiku,linked_infant_paper,universe_slice,catalog_status,assessed_downstream,recov_age,recov_antibiotics,recov_delivery,recov_feeding,recov_preterm,recov_probiotic,cohort_id,cohort_name,cohort_crosswalk_names,n_biosample_infant_flagged,n_linked_papers,linked_pmids,median_gbp,median_read_len,paired_share,instrument_model_top,generation_top,timepoint_class,country_top,worklist_rank,expected_field_yield,effort_class,controlled_access,n_biosamples,sample_unit,cov_probiotic_exposure,cov_preterm_status,cov_gestational_age_weeks,cov_delivery_mode,cov_feeding_mode,cov_antibiotic_exposure,cov_age_at_collection_days,cov_birth_weight_grams,cov_country,cov_maternal_antibiotics,cov_hmo_supplementation,cov_nec_status,cov_health_condition,cov_multiple_birth,cov_sibling_in_study,cov_geo_subregion,n_unique_infants_est,max_timepoints,longitudinal,n_mothers,n_infant_scope_samples,ena_url,ncbi_url,n_age_scope_infant,n_adult_flagged,n_age_unknown_mixed_study,n_age_unknown_no_study_estimate,n_infant_evidenced,n_non_infant_role,n_study_all_infant,mixed_age_deposit,n_infant_role_samples,n_infant_samples_with_subject,n_unique_infants_source,n_unique_infants_upper,n_unique_infants_display,n_sample_rows,n_biosamples_shared_with_other_study,sp_n_samples_profiled,sp_frac_samples_profiled,sp_median_bifidobacterium_ra,sp_median_shannon_genus,sp_n_runs_profiled,sp_frac_runs_profiled,sp_coverage_class,sp_frac_runs_flagged,sp_frac_low_complexity_profiled,sp_frac_low_depth_profiled,sp_median_spf,sp_median_known_species_fraction,sp_auditor_attention,sp_auditor_reason,first_author,last_author,n_authors,n_author_papers,organisations,sp_median_scope,sp_n_samples_panel,sp_panel_scope,sp_coverage_note,n_catalog_scope,n_excluded_host_or_isolate,n_body_site_excluded,n_run_units,n_parent_biosamples,shared_biosample_note
PRJEB36405,include,included,0.8333333333333334,,"[{""source"": ""sample.title"", ""quote"": ""1 month old infant""}, {""source"": ""sample.title"", ""quote"": ""18 months old infant""}, {""source"": ""study.description"", ""quote"": ""clinically healthy pregnant women and young children""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,10.0,,triage_verdict,True,,Study of the bacterial resistome in people and animals from Australia,22,22,2020-08-22,True,True,,True,enumeration_v1,included,True,R3,R3,R0,R0,R0,R0,COH0065,Guernier-Cambert 2021 Australia,,5,1,34603219,0.2187882305,184.50185794783187,0.0,Ion Torrent S5 XL,other,longitudinal_2-4,Australia,291.0,1.9000000000000004,fulltext_only,False,22,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,False,17,22,https://www.ebi.ac.uk/ena/browser/view/PRJEB36405,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB36405,5,0,0,0,5,17,0,False,5,5,subject_ids,3.0,3,22,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,Guernier-Cambert V,Alexandersen S,4,1,GCEID,no_profiled_samples,0,no_profiled_samples,,5,0,0,0,0,
PRJEB37883,include,included,0.85,,"[{""source"": ""study.title"", ""quote"": ""very low birth weight infants in the first two weeks of life""}, {""source"": ""study.description"", ""quote"": ""Stool was sampled during the first two weeks""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=ena_misfiled_library_source_genomic,,,triage_verdict,True,,Hospital regimes including probiotics guide the individual development of the gut microbiome of very low birth weight infants in the first two weeks of life,379,753,2022-05-30,True,True,,False,growth_ena_misfiled_library_source_genomic_2026-09-18,included,True,R3,R3,R3,R3,R3,R3,COH2334,singleton study PRJEB37883,,0,5,32354144;36906612;38908894,0.041016487,145.67809374808272,1.0,Illumina MiSeq,bench,longitudinal_5+,,137.0,4.0,fulltext_only,False,379,biosample,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,False,0,379,https://www.ebi.ac.uk/ena/browser/view/PRJEB37883,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB37883,379,0,0,0,379,0,0,False,379,379,subject_ids,55.0,55,379,0,18,0.0475,0.0,0.1479474925820756,18,0.0239,partial,0.0,0.6111,0.0,98.63499999999999,99.41,False,,Kurath-Koller S,Resch B,35,6,MEDICAL UNIVERSITY GRAZ,catalog_scope_adequate_depth,18,catalog_scope_adequate_depth,,379,0,0,0,0,
PRJEB39610,include,included,0.9499999999999998,,"[{""source"": ""study.title"", ""quote"": ""gut microbiome in preterm infants diagnosed with necrotising enterocolitis""}, {""source"": ""study.description"", ""quote"": ""samples ranging from birth up to 500 days of life""}, {""source"": ""sample.title"", ""quote"": ""preterm stool""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,Longitudinal metagenomic analysis of the gut microbiome in preterm infants diagnosed with necrotising enterocolitis and matched controls,644,644,2020-11-23,True,True,,True,enumeration_v1,included,True,R2,R2,R2,R2,R1,R3,,,NEC,644,5,37191543;38441032;39216480;39287373;41025564,3.331162169,148.49775872406647,1.0,HiSeq X Ten,gen2,single_timepoint,United Kingdom,14.0,8.024999999999999,multiple_supp_tables,False,644,biosample,1.0,1.0,1.0,1.0,0.9720496894409938,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9720496894409938,0.0,0.0,0.0,48.0,33.0,True,0,644,https://www.ebi.ac.uk/ena/browser/view/PRJEB39610,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB39610,644,0,0,0,644,0,0,False,644,644,subject_ids,48.0,48,644,0,588,0.913,0.280072,0.9832821833048166,588,0.913,partial,0.0,0.1327,0.0,90.57499999999999,96.00500000000001,False,,Rizzo SM,Turroni F,53,5,"NEWCASTLE UNIVERSITY, UK",catalog_scope_adequate_depth,588,catalog_scope_adequate_depth,,644,0,0,0,0,
PRJEB41102,include,included,0.7666666666666666,,"[{""source"": ""study.title"", ""quote"": ""Analysis of human fecal metagenomes from adults and infants""}, {""source"": ""study.description"", ""quote"": ""longitudinally-collected adult and infant faecal samples""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,"Analysis of human fecal metagenomes from adults and infants, to investigate strain persistance, dispersal and purifying selection of bacterial strains.",286,807,2020-11-04,True,False,,True,enumeration_v1,included,True,R2,R3,R2,R2,R3,R3,COH0299,singleton study PRJEB41102,,0,2,38441032;41350579,1.786801746,47.0,1.0,Illumina HiSeq 2500,gen1,single_timepoint,Germany,48.0,6.8,multiple_supp_tables,False,286,biosample,1.0,1.0,0.0,0.0,0.0,1.0,0.534965034965035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,False,21,160,https://www.ebi.ac.uk/ena/browser/view/PRJEB41102,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB41102,160,126,0,0,160,0,0,False,160,27,subject_ids_all_distinct,160.0,≤ 160 (one subject id per sample),286,0,273,0.9545,0.012241,3.011471075124158,722,0.8947,partial,0.0,0.0037,0.0,93.71,84.49164279369421,False,,Mancabelli L,Ventura M,24,2,European Molecular Biology Laboratory,catalog_scope_adequate_depth,155,catalog_scope_adequate_depth,,160,0,0,0,0,
PRJEB42045,include,included,0.9166666666666666,,"[{""source"": ""study.description"", ""quote"": ""12 Norwegian infants in the first year of life""}, {""source"": ""sample.title (sample)"", ""quote"": ""WGS stool sample""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,Study of infant stool samples in the first year of life.,16,16,2024-10-10,True,False,,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0300,singleton study PRJEB42045,,0,0,,9.27602991,109.93027845869042,1.0,Illumina HiSeq 2500,gen1,single_timepoint,,408.0,0.5,abstract_only,False,16,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,16,https://www.ebi.ac.uk/ena/browser/view/PRJEB42045,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42045,0,0,0,16,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),16,0,15,0.9375,,,15,0.9375,partial,0.0,0.0,0.0,,,False,,,,0,0,UNIVERSITY OF AMSTERDAM,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB42363,include,included,0.8,,"[{""source"": ""paper.fulltext.data_availability"", ""quote"": ""ERR5050380 PRJEB42363 Africa 1-6 months""}, {""source"": ""study.description"", ""quote"": ""60 children were sampled prior to treatment""}, {""source"": ""study.title"", ""quote"": ""antibiotic resistant gut microbiome""}]",claude-opus-5,opus_adjudication,,30.0,stool/gut,triage_verdict,True,,"Impact of azithromycin mass drug administration on the antibiotic resistant gut microbiome: a randomized, controlled trial",181,181,2021-04-01,False,False,unsure,True,enumeration_v1,included,True,R2,R3,R2,R2,R3,R3,COH0301,singleton study PRJEB42363,,0,2,37191543;41350579,2.650487723,73.81163319524379,1.0,NextSeq 500,bench,single_timepoint,,60.0,6.8,one_supp_table,False,181,biosample,0.0,0.0,0.0,0.0,0.9779005524861878,0.0,0.0,0.0,0.9779005524861878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,181,https://www.ebi.ac.uk/ena/browser/view/PRJEB42363,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42363,0,0,181,0,0,0,0,True,0,0,no_infant_role_samples,,unknown (no infant-role samples),181,0,160,0.884,,,160,0.884,partial,0.0,0.0,0.0,,,False,,Rizzo SM,Turroni F,18,2,LSHTM,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB45356,include,included,0.9,,"[{""source"": ""study.description"", ""quote"": ""12-18-month-old Bangladeshi children with moderate acute malnutrition""}, {""source"": ""sample.title"", ""quote"": ""human fecal sample""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=reenum_delta,,,triage_verdict,True,,Bioactive glycans in a microbiome-directed food for malnourished children,949,950,2023-08-14,False,False,,False,growth_reenum_delta_2026-09-18,included,True,R2,R2,R0,R3,R0,R2,COH2308,singleton study PRJEB45356,,0,3,38093016;42014682,5.7104589820000005,68.51188698429156,0.991578947368421,unspecified,other,longitudinal_5+,,82.0,4.575000000000001,multiple_supp_tables,False,949,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,949,https://www.ebi.ac.uk/ena/browser/view/PRJEB45356,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45356,0,0,0,949,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),949,0,865,0.9115,,,865,0.9105,partial,0.0,0.0012,0.0,,,False,,Hibberd MC,Gordon JI,34,3,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB45443,include,included,0.9,,"[{""source"": ""study.description"", ""quote"": ""higher at early ages (6-12 months)""}, {""source"": ""study.title"", ""quote"": ""gut microbiome in early childhood""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""Fecal""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=reenum_delta,,,triage_verdict,True,,Different development status of gut microbiome link to the dysbiosis of gut ecosystem in early childhood with atopic dermatitis,338,338,2021-11-10,False,False,,False,growth_reenum_delta_2026-09-18,included,True,R3,R3,R3,R3,R3,R3,,,,0,2,35485368;40442154,3.509171513,125.5,1.0,Illumina HiSeq 2500,gen1,single_timepoint,South Korea,141.0,4.0,fulltext_only,False,338,biosample,0.0,0.0,0.0,0.1390532544378698,0.1390532544378698,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10650887573964497,0.0,0.0,0.0,,,False,0,338,https://www.ebi.ac.uk/ena/browser/view/PRJEB45443,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45443,0,0,0,338,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),338,0,293,0.8669,,,293,0.8669,partial,0.0,0.0137,0.0,,,False,,Lee MJ,Kim BS,19,2,Ewha Womans University,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB45799,include,included,0.82,,"[{""source"": ""paper.abstract"", ""quote"": ""Mother-to-infant gut microbiome transmission was considerable and stable during infancy""}, {""source"": ""study.description"", ""quote"": ""We assessed this in >9700 gut and oral metagenomes""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-opus-5,opus_adjudication,,,,triage_verdict,True,,The person-to-person transmission landscape of the gut and oral microbiomes,2394,2394,2022-03-29,False,False,unsure,True,enumeration_v1,included,True,R2,R3,R2,R3,R3,R3,COH0066,Valles-Colomer 2023 Italy,,0,2,36653448;42171373,8.772699617,74.92210253276124,1.0,unspecified,other,longitudinal_5+,,27.0,6.000000000000001,one_supp_table,False,2394,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0910609857978279,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,7.0,True,0,2394,https://www.ebi.ac.uk/ena/browser/view/PRJEB45799,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45799,218,0,0,2176,218,0,0,False,218,218,subject_ids,182.0,182,2394,0,2180,0.9106,0.0,2.558070826748663,2180,0.9106,partial,0.0,0.0055,0.0,97.45,78.04,False,,Valles-Colomer M,Segata N,48,2,University of Trento,catalog_scope_adequate_depth,197,catalog_scope_adequate_depth,,218,0,0,0,0,
PRJEB46214,include,included,0.6,,"[{""source"": ""paper.fulltext.data_availability"", ""quote"": ""accession numbers: PRJEB29237, PRJEB41463, PRJEB46214, and PRJEB53954""}, {""source"": ""paper.fulltext.results"", ""quote"": ""Forty-nine stool samples from 11 patients were under the age of 3""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,human-review pass (frame b83bd6c7 artifact): Paper PMC9363618 (IWK pediatric leukemia/lymphoma cohort) deposits its 134 shotgun stool samples across four ENA projects incl. PRJEB46214; 49/134 samples (11/47 patients) are under 3 y. Per-accession mapping of U3 samples not possible from archive or supplements; estimate is proportional (47/134*49). Sibling deposits PRJEB29237/PRJEB59728 were excluded,17.0,stool,triage_verdict,True,,Gut bacterial gene changes following pegaspargase treatment in pediatric patients with Acute Lymphoblastic Leukemia,47,47,2021-07-13,False,True,,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,,,,0,0,,1.002160522,125.88516012245309,0.0,NextSeq 500,bench,single_timepoint,Canada,385.0,0.5,abstract_only,False,47,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,47,https://www.ebi.ac.uk/ena/browser/view/PRJEB46214,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB46214,0,0,47,0,0,0,0,True,0,0,no_infant_role_samples,,unknown (no infant-role samples),47,0,41,0.8723,,,41,0.8723,partial,0.0,0.0732,0.0,,,False,,,,0,0,DALHOUSIE UNIVERSITY,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB46659,include,included,0.85,,"[{""source"": ""study.description"", ""quote"": ""paired infant stool (n=172) samples""}, {""source"": ""sample.title"", ""quote"": ""Metagenomic Sequencing of Mother-Infant Dyads""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""human-stool""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=reenum_delta,,,triage_verdict,True,,Heritable Vaginal Bacteria Relate to Allergic Sensitization,49,49,2022-08-03,True,False,,False,growth_reenum_delta_2026-09-18,included,True,R3,R3,R3,R3,R3,R0,COH2326,singleton study PRJEB46659,,244,4,35932762;38782975;40241748;41265504,4.622465605,75.5,1.0,NextSeq 500,bench,longitudinal_5+,USA,216.0,3.825,fulltext_only,False,49,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,49,25,https://www.ebi.ac.uk/ena/browser/view/PRJEB46659,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB46659,0,0,0,0,0,49,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),49,0,46,0.9388,,,46,0.9388,partial,0.0,0.087,0.0,,,False,,McCauley KE,ECHO Children’s Respiratory and Environmental Workgroup,55,4,UNIVERSITY OF CALIFORNIA - SAN FRANCISCO,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB46788,include,included,0.6,,"[{""source"": ""study.description"", ""quote"": ""including mothers and children""}, {""source"": ""paper.abstract"", ""quote"": ""metagenomes obtained from mother-child pairs""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-opus-5,opus_adjudication,,,,triage_verdict,True,,Codiversification of gut microbiota with humans,2750,2750,2022-09-16,False,False,no,True,enumeration_v1,included,True,R2,R3,R3,R3,R3,R0,COH0232,singleton study PRJEB46788,,0,3,38441032;39287373;41358671,0.313669712,74.3609570552349,1.0,Illumina HiSeq 3000,gen2,longitudinal_2-4,,46.0,5.025,one_supp_table,False,2750,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7374545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.22036363636363637,,,False,0,2750,https://www.ebi.ac.uk/ena/browser/view/PRJEB46788,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB46788,0,0,0,2750,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),2750,0,2161,0.7858,,,2161,0.7858,partial,0.0,0.0009,0.0,,,False,,Mancabelli L,Ventura M,31,3,max planck institute for biology,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB46943,include,included,0.95,,"[{""source"": ""study.title"", ""quote"": ""faecal DNA viromes from 647 healthy Danish infants""}, {""source"": ""study.description"", ""quote"": ""age 1 year faecal samples""}, {""source"": ""sample.title"", ""quote"": ""infant gut virome""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=virome_taxon_slice,655.0,gut/stool (virome),triage_verdict,True,,Deep sequencing of faecal DNA viromes from 647 healthy Danish infants,655,1310,2022-02-01,True,False,,False,growth_virome_taxon_slice_2026-09-18,included,True,R2,R3,R2,R3,R3,R0,COH2332,singleton study PRJEB46943,COPSAC;COPSAC2010,655,8,35181661;37037943;40108202;40396485;40615392;41387423;42315844,0.20926462,69.9431044378699,0.5,Illumina HiSeq 2000,gen1,longitudinal_2-4,Denmark,52.0,5.825000000000001,one_supp_table,False,655,biosample,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,False,0,655,https://www.ebi.ac.uk/ena/browser/view/PRJEB46943,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB46943,655,0,0,0,655,0,0,False,655,0,no_subject_evidence,655.0,"unknown (≤ 655, no subject evidence)",655,0,2,0.0031,0.0,1.4226461305741585,2,0.0015,partial,0.0,0.5,0.0,54.015,84.095,False,,Johansen J,Rasmussen S,45,8,University of Copenhagen,catalog_scope_adequate_depth,2,catalog_scope_adequate_depth,,655,0,0,0,0,
PRJEB48251,include,included,0.7333333333333334,,"[{""source"": ""sample.title"", ""quote"": ""PB029_3M_Sample""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""Fecal material (ENVO_00002003)""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,MicrobeMom,205,205,2025-02-21,False,True,yes,True,enumeration_v1,included,True,R2,R2,R2,R2,R3,R3,COH0015,MicrobeMom,,96,3,37230981;39365058;40755225,2.619251457,72.49728631892913,1.0,NextSeq 500,bench,single_timepoint,Ireland,50.0,7.199999999999999,multiple_supp_tables,False,205,biosample,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.48292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,False,0,205,https://www.ebi.ac.uk/ena/browser/view/PRJEB48251,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB48251,205,0,0,0,205,0,0,False,205,205,subject_ids_all_distinct,205.0,≤ 205 (one subject id per sample),205,0,198,0.9659,0.074131,2.693645598439558,198,0.9659,partial,0.0,0.0606,0.0,93.97,83.57,False,,Feehily C,Cotter PD,28,3,TEAGASC FOOD RESEARCH CENTRE,catalog_scope_adequate_depth,198,catalog_scope_adequate_depth,,205,0,0,0,0,
PRJEB49206,include,included,0.6,,"[{""source"": ""study.description"", ""quote"": ""ultra-deep metagenomic sequencing ... on fecal samples""}, {""source"": ""sample.attr.age"", ""quote"": ""3 | 0 | 2 | 1""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-opus-5,opus_adjudication_biosample_rejudge,"re-judged with BioSample age attributes (53 infant-flagged samples, median 12.0 mo); prior exclude (age_unknown_no_evidence) superseded",,,triage_verdict,True,,Extensive microbial novelty in the Hadza and Nepali gut microbiome reveals how lifestyle impacts composition and function,439,477,2022-04-01,False,False,,False,enumeration_v1,included,False,,,,,,,,,,53,0,,,,,,,,,,,,,439,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.8789954337899544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,89.0,2.0,True,0,154,https://www.ebi.ac.uk/ena/browser/view/PRJEB49206,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB49206,121,265,0,53,121,0,0,True,121,121,subject_ids,89.0,89,439,0,381,0.8679,3.2e-05,2.5535914744105868,412,0.8637,partial,0.0419,0.0026,0.0,87.94151486097364,83.42,False,,Smits SA,Sonnenburg JL,24,3,stanford university school of medicine; Stanford University School of Medicine,catalog_scope_adequate_depth,111,catalog_scope_adequate_depth,,121,20,21,0,0,
PRJEB49383,include,included,0.95,,"[{""source"": ""study.title"", ""quote"": ""Preterm Neonatal Stool Metagenomes""}, {""source"": ""sample.title"", ""quote"": ""Preterm stool metagenome""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=external_repo_insdc_hit,,,triage_verdict,True,,Preterm Neonatal Stool Metagenomes,2351,2352,2022-10-01,True,True,,False,growth_external_repo_insdc_hit_2026-09-18,included,True,R2,R3,R2,R3,R1,R2,COH0191,Beck preterm probiotics UK cohort,,2344,2,36163498;39183307,3.215006428,74.2887127347837,1.0,NextSeq 500,bench,longitudinal_2-4,United Kingdom,10.0,7.025,one_supp_table,False,2351,biosample,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,False,0,2351,https://www.ebi.ac.uk/ena/browser/view/PRJEB49383,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB49383,2351,0,0,0,2351,0,0,False,2351,0,no_subject_evidence,2351.0,"unknown (≤ 2351, no subject evidence)",2351,0,2001,0.8511,0.08215249999999999,0.9536452628292778,2001,0.8508,partial,0.0,0.1744,0.0035,89.75,96.15,False,,Beck LC,Stewart CJ,12,2,Newcastle University,catalog_scope_adequate_depth,1994,catalog_scope_adequate_depth,,2351,0,0,0,0,
PRJEB50568,include,included,0.6,,"[{""source"": ""paper.abstract"", ""quote"": ""children between 1 and 7 years of age""}, {""source"": ""paper.abstract"", ""quote"": ""One hundred nineteen faecal samples from 39 children""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): Europe PMC hit PMC9850782 cites PRJEB50568; 119 faecal samples = ENA sample count; age range starts at 1 y so ≥1 subject <3 y; NovaSeq shotgun. Full text XML unavailable (abstract-only), confidence capped at 0.6; per-sample ages not recoverable.",,stool,triage_verdict,True,,Pediatric gut resistome,119,119,2022-02-08,False,False,yes,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0303,singleton study PRJEB50568,,0,0,,1.7055453,75.0,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,Ecuador,354.0,0.5,abstract_only,False,119,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,119,https://www.ebi.ac.uk/ena/browser/view/PRJEB50568,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB50568,0,0,0,119,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),119,0,110,0.9244,,,110,0.9244,partial,0.0,0.0,0.0,,,False,,,,0,0,Universidad San Francisco de Quito,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB51728,include,included,0.9,,"[{""source"": ""study.title"", ""quote"": ""Infant stool metagenomic datasets""}, {""source"": ""study.description"", ""quote"": ""gut microbiome of rural Zimbabwean infants undergoes programmed maturation""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,Infant stool metagenomic datasets,875,1750,2023-02-14,True,False,yes,True,enumeration_v1,included,True,R2,R2,R2,R2,R2,R3,COH0008,Robertson 2023 Zimbabwe,,875,4,36788215;39341154;40048849,1.653998967,73.86873530468436,1.0,Illumina HiSeq X,gen2,longitudinal_2-4,Zimbabwe,12.0,7.8,multiple_supp_tables,False,875,biosample,0.0,0.6925714285714286,0.0,0.6925714285714286,0.0,0.6925714285714286,0.9817142857142858,0.6925714285714286,1.0,0.0,0.0,0.0,0.0,0.6925714285714286,0.0,0.0,583.0,2.0,True,0,875,https://www.ebi.ac.uk/ena/browser/view/PRJEB51728,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB51728,859,0,0,16,859,0,0,False,859,606,subject_ids_partial,836.0,583–836 (subject ids on 606/859 samples),875,0,864,0.9874,0.3925785,1.710775400047706,1589,0.908,partial,0.0,0.0116,0.0,97.805,88.77000000000001,False,,Robertson RC,Manges AR,34,3,UNIVERSITY OF BRITISH COLUMBIA,catalog_scope_adequate_depth,848,catalog_scope_adequate_depth,,859,0,0,0,0,
PRJEB52147,include,included,0.9,,"[{""source"": ""study.title"", ""quote"": ""Milk Feedings in the Preterm Population""}, {""source"": ""sample.attr.host_body_site"", ""quote"": ""UBERON:meconium""}, {""source"": ""study.description"", ""quote"": ""predict atopy... by 2 years of age""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,"The Association Between Milk Feedings in the Preterm Population, the Microbiome and Risk of Atopic Disease: Microbiome, Atopic Disease, and Prematurity (MAP Study)",90,90,2022-04-11,True,False,yes,True,enumeration_v1,included,True,R3,R3,R3,R3,R3,R3,COH0041,MAP,Breast Milk,90,1,35440708,0.368039145,75.42107958940632,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,USA:CA:San Diego,196.0,4.0,fulltext_only,False,90,biosample,0.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9444444444444444,0.3333333333333333,1.0,18.0,3.0,True,36,54,https://www.ebi.ac.uk/ena/browser/view/PRJEB52147,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB52147,54,0,0,0,54,36,0,False,54,54,subject_ids,18.0,18,90,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,Bai-Tong SS,Leibel SL,15,1,University of California San Diego Microbiome Initiative,no_profiled_samples,0,no_profiled_samples,,54,0,0,0,0,
